Name,Year,Cases_Value,Deaths_Value
Maryland,2020,82069.87585013258,337.8129489851263
Montserrado,2010,241869.83045233332,518.1516953981208
Montserrado,2011,231838.3026663356,530.3780385796049
Montserrado,2012,221904.18536022707,436.8066796989947
Montserrado,2013,232894.3754919672,411.8047290309258
Montserrado,2014,263212.3368661479,471.8537039738246
Montserrado,2015,277115.15724367445,500.72178295259295
Montserrado,2016,325695.29183819593,526.8533889315611
Montserrado,2017,390265.5016263462,651.5066565142586
Montserrado,2018,416317.55402356334,689.8008100452721
Montserrado,2019,445691.9509369327,656.6129563491787
Montserrado,2020,474933.4947358616,830.8414919371754
Nimba,2010,244346.8948929572,1018.928272070106
Nimba,2011,236833.36584860663,1009.0233128703402
Nimba,2012,231545.3245155904,820.116832748758
Nimba,2013,244731.0258571309,752.0026298492604
Nimba,2014,265081.6541554402,849.038187405692
Nimba,2015,277573.5834843952,889.5787541005798
Nimba,2016,294999.8892262961,919.8427274761276
Nimba,2017,298519.0063476187,813.8574707278077
Nimba,2018,290355.33303414297,845.8533397325307
Nimba,2019,280395.04448649153,798.9009722605722
Nimba,2020,266007.5975837032,981.7161578682772
River Cess,2010,28316.523039253767,131.1451322370432
River Cess,2011,29743.218152117508,131.8039636606634
River Cess,2012,31706.89340753731,108.420087708132
River Cess,2013,35573.09221277237,98.97649711674612
River Cess,2014,39898.5942232118,112.68177700789047
River Cess,2015,42586.6778497071,118.9417274976582
River Cess,2016,46158.89560061149,124.8061938636338
River Cess,2017,47284.5888561448,120.14072910894951
River Cess,2018,45781.54406862118,124.75336209510763
River Cess,2019,44381.36505756912,119.672202634759
River Cess,2020,42896.98650010861,147.94134904639822
River Gee,2010,44849.33981563536,223.22379407143976
River Gee,2011,45838.89071848621,223.42320054967212
River Gee,2012,43737.28827746789,182.36803964876415
River Gee,2013,43919.80524366692,167.556260142914
River Gee,2014,46724.01854705566,190.75958406958915
River Gee,2015,48713.059648616094,201.2050489229262
River Gee,2016,52306.8089795919,209.473939959952
River Gee,2017,53697.925205354935,191.7275963846542
River Gee,2018,52628.41530408273,199.00327925830027
River Gee,2019,50819.21393217735,188.94551169427388
River Gee,2020,49396.68585136405,232.5430708914953
Sinoe,2010,44458.107968102,182.1651840866815
Sinoe,2011,47871.37030329009,182.3382574931809
Sinoe,2012,51193.73655470201,148.24566670088106
Sinoe,2013,55545.13952416027,135.3363473450733
Sinoe,2014,59381.276203441645,153.62471399156107
Sinoe,2015,61687.11494744969,161.7615421610541
Sinoe,2016,63628.50584161079,167.9583241489467
Sinoe,2017,64100.23824946403,192.7900024323852
Sinoe,2018,63174.83179041593,199.265330763395
Sinoe,2019,60955.88916086569,189.7940163686231
Sinoe,2020,58274.850530256495,232.6659256941344
